"name","name_root","hypernym"
"açınım","açınım","['açınım']"
"açınım","açınım","['sabit', 'sin', 'açı', 'kat', 'derece']"
"açınma","açınma","['açınma']"
"açınsama","açınsa","['açınsa']"
"açıortay","açıortay","['sin', 'açı', 'doğru', 'd', 'sabit']"
"açıortay düzlemi","açıortay düzlem","['düzlem', 'd', 'pi', 'sin', 'açı']"
"açıölçer","açıölçer","['iletken', 'sabit', 'pi', 'ölçme']"
"açısal bölge","açısal bölge","['düzlem', 'iç', 'birim', 'sin', 'eksen']"
"açısal çap","açısal çap","['cm', 'km', 'pi', 'çap']"
"açısal hız","açısal hız","['cm', 'km', 'metre']"
"açısal ivme","açısal ivme","['ivme', 'yüzde', 'km']"
"açısal sapma","açısal sap","['sabit', 'yüzde', 'değer', 'sin', 'değişken']"
"açısal uzaklık","açısal uzaklık","['km', 'cm', 'metre', 'mil']"
"açısal yol","açısal yol","['sin', 'km', 'sabit', 'pi']"
"açış","açış","['işlem']"
"açış konuşması","aç konuş","['ilk', 'açılış', 'konuşma']"
"açıt","açıt","['açı', 'açık', 'açıklık', 'kapı']"
"açı ölçüm","açı ölçüm","['ölçme', 'ölçü', 'teknik', 'gözlem', 'bilim']"
"açkı","açkı","['cisim', 'araç']"
"açkı","açkı","['alet', 'araç', 'mil', 'makine']"
"açkı","açkı","['anahtar', 'araç', 'kilit', 'kapı']"
"açkıcı","açkıcı","['açkıcı']"
"açkıcı","açkıcı","['görevli', 'makine']"
"açkılama","açkılama","['açkılama']"
"açkılanma","açkıla","['açkıla']"
"açkılatma","açkıla","['açkıla']"
"açlık","açlık","['kıt', 'ihtiyaç']"
"açlık","açlık","['kıt', 'met']"
"açlık","açlık","['met']"
"açlık grevi","açlık grev","['protesto']"
"açlık şekeri","açlık şeker","['gram', 'mg', 'kg', 'yüzde']"
"açma","açma","['def']"
"açma","açma","['arazi', 'orman', 'tarla', 'ha']"
"açma","açma","['tatlı']"
"açmacı","açmacı","['ric']"
"açmacılık","açmacılık","['ticaret', 'tali']"
"açmalık","açmalık","['madde', 'temiz', 'temizlik']"
"açmaz","aç","['şah', 'hamle']"
"açmaz","aç","['aç']"
"açmaz","aç","['hâl']"
"açmazlık","açmaz","['ille', 'hâl']"
"açmazlık","açmaz","['ille']"
"açmaz halatı","aç halat","['mil', 'bo', 'metre']"
"açtırma","açtır","['ibadet']"
"açval","açval","['mal', 'hayvan']"
"ada","ada","['şeri', 'km', 'mil']"
"ada","ada","['yerleşim', 'arsa']"
"ada","ada","['cez', 'şe']"
"adabımuaşeret","adabımuaşeret","['ibadet']"
"adacık","adacık","['deniz', 'göl']"
"adacyo","adacyo","['rit', 'best', 'şarkı', 'do']"
"adak","adak","['adak']"
"adaklama","adakla","['ibadet']"
"adaklanma","adakla","['ibadet']"
"adaklık","adak","['adak']"
"adaklık","adak","['hayvan']"
"adaklık kurban","adak kurban","['kurban', 'ibadet']"
"adale","adale","['organ', 'cis', 'kas']"
"adalet","adalet","['adalet']"
"adalet","adalet","['adalet']"
"adalet","adalet","['adalet']"
"adalet","adalet","['hukuk']"
"adaletlilik","adaletli","['hukuk']"
"adaletsizlik","adaletsizlik","['hukuk', 'ille']"
"adalet divanı","adalet divan","['mahkeme', 'divan']"
"adalet kapısı","adalet kapı","['adalet kapı']"
"adalet mahkemesi","adalet mahkeme","['adliye', 'daire', 'idare', 'mahkeme']"
"adalet örgütü","adalet örgüt","['adliye', 'idare', 'teşkilat']"
"adalet sarayı","adalet saray","['kale', 'adliye', 'kat']"
"adam","adam","['erkek']"
"adam","adam","['müslüman']"
"adam","adam","['adam']"
"adam","adam","['adam']"
"adam","adam","['adam']"
"adam","adam","['alim']"
"adam","adam","['ha']"
"adam","adam","['memur', 'görevli', 'ha']"
"adam","adam","['adam']"
"adam","adam","['adam']"
"adam","adam","['adam']"
"adama","adam","['hizmet', 'mal']"
"adamcağız","adamcağız","['cin']"
"adamcık","adamcık","['adam']"
"adamcık","adamcık","['adam']"
"adamcıllık","adamcıl","['değer']"
"adamkökü","adamkök","['para', 'adam', 'mal']"
"adamlık","adamlık","['adamlık']"
"adamlık","adamlık","['adamlık']"
"adamotu","adamotu","['bitki', 'ot', 'ağaç', 'meyve']"
"adamsızlık","adamsızlık","['ille']"
"adam adama savunma","adam adam savun","['sistem', 'savunma', 'oyun', 'önlem', 'taktik']"
"adam azmanı","adam azman","['adam azman']"
"adam sarrafı","adam sarraf","['adam sarraf']"
"adam sendeci","adam sende","['ha']"
"adam sendecilik","adam sendeci","['ille', 'başka']"
"Adana kebabı","adana kebab","['kebap', 'numara', 'yemek', 'tab']"
"adanma","ada","['ibadet']"
"adap","adap","['araç']"
"adap","adap","['adap']"
"adaptasyon","adaptasyon","['süreç', 'sistem']"
"adaptasyon","adaptasyon","['eğitim', 'rit']"
"adaptasyon","adaptasyon","['süreç']"
"adaptasyon","adaptasyon","['süreç', 'ilk']"
"adaptör","adaptör","['vida', 'bağlayıcı', 'alet']"
"adaptör","adaptör","['alet', 'aygıt', 'kumanda', 'elektrik']"
"adap erkân","adap erkân","['adap erkân']"
"adaş","adaş","['adaş']"
"adaşlık","adaş","['adaş']"
"adatma","adat","['ibadet']"
"adavet","adavet","['adavet']"
"aday","aday","['memur']"
"aday","aday","['şah', 'başka']"
"adayavrusu","adayavrus","['tekne', 'mil', 'balıkçı', 'gemi']"
"adaylık","adaylık","['süre']"
"adaylık","adaylık","['görev', 'görevde', 'göreve', 'hizmet']"
"aday adayı","aday aday","['müslüman', 'işçi']"
"aday adayı","aday aday","['müslüman']"
"ada balığı","ada balık","['deniz', 'balık']"
"ada çayı","ada çay","['şifa', 'çay', 'bitki']"
"ada çayı","ada çay","['şifa', 'su', 'çay']"
"ada soğanı","ada soğan","['bitki', 'şifa', 'ilaç']"
"ada tavşanı","ada tavşan","['yaban', 'tavşan', 'balık', 'deniz']"
"ada tepe","ada tepe","['tepe', 'dağ']"
"adcı","adcı","['adcı']"
"adcılık","adcı","['ad', 'isim']"
"addan türeme fiil","ad türe fiil","['ism', 'şahıs']"
"addedilme","addedilme","['addedilme']"
"addetme","addet","['addet']"
"addolunma","addolunma","['addolunma']"
"adedimürettep","adedimürettep","['kat']"
"adem","adem","['cüz']"
"ademimerkeziyet","ademimerkeziyet","['devlet']"
"ademimerkeziyetçi","ademimerkeziyetçi","['sistem', 'devlet', 'idare', 'rejim']"
"ademimerkeziyetçilik","ademimerkeziyetçilik","['ille']"
"ademiyet","ademiyet","['cüz']"
"adenit","adenit","['lenf', 'lez', 'kanser', 'bakteri']"
"adese","adese","['adese']"
"adese","adese","['can']"
"adese","adese","['cis', 'kat']"
"adet","adet","['adet']"
"adet","adet","['tane']"
"adezyon kuvveti","adezyon kuvvet","['sin', 'pi', 'sabit', 'd']"
"adıl","adıl","['zam', 'sey']"
"adım","adım","['adım', 'nefes', 'pi']"
"adım","adım","['adım', 'gösterge', 'ok', 'km']"
"adım","adım","['hamle', 'adım', 'tak']"
"adım","adım","['adım']"
"adım","adım","['adım', 'pi', 'cm', 'diş']"
"adım","adım","['adım', 'km']"
"adım","adım","['adım', 'km', 'mil']"
"adımlama","adımla","['adımla']"
"adımsayar","adımsayar","['alet', 'adım', 'ölçme', 'araç', 'gösterge']"
"adı sanı","ad(i) sanı","['kişinin', 'kimsenin']"
"adileşme","adileş","['adileş']"
"adileştirme","adileştir","['adileştir']"
"adilik","adilik","['met']"
"adillik","adil","['adil']"
"adisyon","adisyon","['hesab', 'para', 'sistem', 'yüzde', 'banka']"
"adi adım","aid adım","['adım', 'yürüme', 'at']"
